[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-17T08:38:44.799Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:38:47.914Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-12&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:34:19.221Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:34:19.251Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:35:23.683Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:35:23.700Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:04.857Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:36:04.864Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:04.872Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:36:04.874Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.726Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.744Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.746Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.755Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.793Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:08.795Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.285Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:36:12.287Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.296Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.298Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.306Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:36:12.308Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.320Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:36:12.321Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T09:39:16.547Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:39:25.615Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:39:25.623Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T09:39:28.589Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
